nombre_localidad,anio,casos_consumo,casos_violencia,en_psicoactivas,en_vif,poblacion,poblacion_baja,tasa_consumo_100k,tasa_violencia_100k
antonio nariño,2015,54,344,True,True,37925.0,False,142.38628872775215,907.0533948582729
antonio nariño,2016,67,290,True,True,37925.0,False,176.6644693473962,764.6671061305208
antonio nariño,2017,82,294,True,True,37925.0,False,216.21621621621622,775.2142386288727
antonio nariño,2018,117,344,True,True,37925.0,False,308.5036255767963,907.0533948582729
antonio nariño,2019,236,436,True,True,38097.0,False,619.4713494500879,1144.447069323044
antonio nariño,2020,138,266,True,True,38539.0,False,358.0788292379148,690.2099172267054
antonio nariño,2021,112,346,True,True,38419.0,False,291.5224238007236,900.5960592415211
antonio nariño,2022,139,435,True,True,38750.0,False,358.7096774193548,1122.5806451612902
antonio nariño,2023,111,402,True,True,38960.0,False,284.90759753593426,1031.8275154004107
antonio nariño,2024,182,408,True,True,39218.0,False,464.0726197154368,1040.3386200214188
barrios unidos,2015,104,610,True,True,62070.0,False,167.5527630095054,982.7613984211374
barrios unidos,2016,60,465,True,True,62070.0,False,96.66505558240696,749.1541807636539
barrios unidos,2017,79,423,True,True,62070.0,False,127.27565651683584,681.488641855969
barrios unidos,2018,104,428,True,True,62070.0,False,167.5527630095054,689.544063154503
barrios unidos,2019,96,352,True,True,65700.0,False,146.11872146118722,535.7686453576865
barrios unidos,2020,107,280,True,True,68978.0,False,155.1219229319493,405.92652729855894
barrios unidos,2021,292,362,True,True,71269.0,False,409.71530398911165,507.93472617828223
barrios unidos,2022,290,514,True,True,73779.0,False,393.0657775247699,696.6752056818336
barrios unidos,2023,302,644,True,True,75950.0,False,397.6300197498354,847.926267281106
barrios unidos,2024,212,747,True,True,77967.0,False,271.9099106032039,958.097656700912
bosa,2015,3059,5225,True,True,334223.0,False,915.2571785903424,1563.3274789586594
bosa,2016,912,4365,True,True,334223.0,False,272.8717054182387,1306.0142479721624
bosa,2017,264,3224,True,True,334223.0,False,78.989177884227,964.6254147679842
bosa,2018,224,3488,True,True,334223.0,False,67.02112062904108,1043.6145926522113
bosa,2019,772,4149,True,True,340010.0,False,227.0521455251316,1220.2582276991852
bosa,2020,456,3169,True,True,345148.0,False,132.1172366636921,918.1568486562286
bosa,2021,690,3456,True,True,351821.0,False,196.1224600009664,982.3177127004926
bosa,2022,781,4775,True,True,349432.0,False,223.50557476132695,1366.503354014515
bosa,2023,709,5820,True,True,351203.0,False,201.87754660410073,1657.1612429278794
bosa,2024,903,6452,True,True,353078.0,False,255.75085391896408,1827.358260780904
chapinero,2015,251,421,True,True,74402.0,False,337.35652267412166,565.8450041665546
chapinero,2016,97,307,True,True,74402.0,False,130.3728394398,412.62331657751133
chapinero,2017,83,360,True,True,74402.0,False,111.55614096395259,483.8579608075052
chapinero,2018,138,401,True,True,74402.0,False,185.4788849762103,538.9640063439156
chapinero,2019,236,380,True,True,77991.0,False,302.59901783539124,487.23570668410457
chapinero,2020,200,229,True,True,81436.0,False,245.5916302372415,281.20241662164153
chapinero,2021,411,332,True,True,82993.0,False,495.2224886436206,400.0337377851144
chapinero,2022,187,520,True,True,84779.0,False,220.57349107679966,613.3594404274643
chapinero,2023,339,543,True,True,86201.0,False,393.2668994559228,629.9230867391329
chapinero,2024,429,631,True,True,87517.0,False,490.19047727870014,721.0027766034028
ciudad bolívar,2015,1719,4222,True,True,299144.0,False,574.6396384350012,1411.3604150509454
ciudad bolívar,2016,584,4525,True,True,299144.0,False,195.22370497151874,1512.649426363223
ciudad bolívar,2017,519,4786,True,True,299144.0,False,173.49503917845587,1599.8983767015216
ciudad bolívar,2018,286,5011,True,True,299144.0,False,95.60612948947664,1675.112989062124
ciudad bolívar,2019,771,4330,True,True,308746.0,False,249.71983442700474,1402.447319155552
ciudad bolívar,2020,444,3424,True,True,316525.0,False,140.2732801516468,1081.7470973856725
ciudad bolívar,2021,574,4321,True,True,321703.0,False,178.42544210032236,1343.1643472395347
ciudad bolívar,2022,450,5778,True,True,326034.0,False,138.02241484017003,1772.2078065477833
ciudad bolívar,2023,526,6407,True,True,329690.0,False,159.54381388577147,1943.3407140040645
ciudad bolívar,2024,838,6902,True,True,332994.0,False,251.65618599734532,2072.7100187991373
engativá,2015,393,2388,True,True,374253.0,False,105.00917828314002,638.0710375067134
engativá,2016,316,2003,True,True,374253.0,False,84.43486090959858,535.1994506390063
engativá,2017,239,2113,True,True,374253.0,False,63.86054353605716,564.5913326012083
engativá,2018,283,2180,True,True,374253.0,False,75.61729632093797,582.4936607054586
engativá,2019,476,2232,True,True,379603.0,False,125.39416179534935,587.9827082504617
engativá,2020,317,1578,True,True,384107.0,False,82.52908694712671,410.82302587560235
engativá,2021,954,2423,True,True,385375.0,False,247.55108660395717,628.738241972105
engativá,2022,725,3570,True,True,386382.0,False,187.63814049308715,923.9560849107877
engativá,2023,860,3957,True,True,387428.0,False,221.9767285792457,1021.3510639396223
engativá,2024,1107,4450,True,True,388871.0,False,284.6702376880765,1144.3383538499913
fontibón,2015,479,1232,True,True,173463.0,False,276.1395801986591,710.2379181727516
fontibón,2016,158,1213,True,True,173463.0,False,91.08570703838859,699.284573655477
fontibón,2017,147,931,True,True,173463.0,False,84.74429705470331,536.7138813464543
fontibón,2018,138,857,True,True,173463.0,False,79.55587070441536,494.05348691075335
fontibón,2019,434,989,True,True,178158.0,False,243.60399196219086,555.1252259230571
fontibón,2020,324,898,True,True,182187.0,False,177.83925307513707,492.9001520415837
fontibón,2021,715,1121,True,True,184457.0,False,387.6242159419268,607.7297147844755
fontibón,2022,753,1511,True,True,186689.0,False,403.3445998425188,809.367450680008
fontibón,2023,426,1803,True,True,188605.0,False,225.8688794040455,955.9661726889532
fontibón,2024,490,1877,True,True,189984.0,False,257.91645612262084,987.9779349839987
kennedy,2015,863,3830,True,True,488032.0,False,176.83266671037964,784.7846042882434
kennedy,2016,593,3410,True,True,488032.0,False,121.5084256770048,698.7246737918825
kennedy,2017,394,2860,True,True,488032.0,False,80.73241098944332,586.0271457609336
kennedy,2018,358,3234,True,True,488032.0,False,73.35584551832666,662.6614648219789
kennedy,2019,976,4163,True,True,493558.0,False,197.74778242881283,843.4672318147005
kennedy,2020,534,3190,True,True,498446.0,False,107.13296926848645,639.9890860795351
kennedy,2021,867,4238,True,True,499553.0,False,173.5551583115305,848.3584324386002
kennedy,2022,903,5664,True,True,500515.0,False,180.41417340139657,1131.6344165509524
kennedy,2023,858,6334,True,True,501861.0,False,170.96367320831865,1262.1024546637416
kennedy,2024,1185,7039,True,True,503962.0,False,235.13677618550605,1396.7322933078287
la candelaria,2015,67,125,True,True,9012.0,False,743.4531735463827,1387.039502885042
la candelaria,2016,30,105,True,True,9012.0,False,332.88948069241013,1165.1131824234355
la candelaria,2017,55,100,True,True,9012.0,False,610.2973812694186,1109.6316023080337
la candelaria,2018,102,109,True,True,9012.0,False,1131.8242343541945,1209.4984465157568
la candelaria,2019,236,136,True,True,9085.0,False,2597.68849752339,1496.9730324711063
la candelaria,2020,228,83,True,True,9154.0,False,2490.714441774088,906.7074502949531
la candelaria,2021,116,109,True,True,9223.0,False,1257.7252520871734,1181.8280385991543
la candelaria,2022,277,166,True,True,9292.0,False,2981.0589754627636,1786.4829961256996
la candelaria,2023,306,135,True,True,9361.0,False,3268.881529751095,1442.1536160666594
la candelaria,2024,293,122,True,True,9430.0,False,3107.104984093319,1293.7433722163307
puente aranda,2015,844,783,True,True,117754.0,False,716.7484756356472,664.945564481886
puente aranda,2016,756,680,True,True,117754.0,False,642.0164070859589,577.4750751566826
puente aranda,2017,364,628,True,True,117754.0,False,309.1190108191654,533.3152164682305
puente aranda,2018,183,687,True,True,117754.0,False,155.4087334612837,583.4196715185897
puente aranda,2019,330,909,True,True,120652.0,False,273.513907767795,753.4064913967444
puente aranda,2020,506,623,True,True,123056.0,False,411.1949031335327,506.27356650630605
puente aranda,2021,619,767,True,True,124463.0,False,497.3365578525345,616.2473988253537
puente aranda,2022,791,1026,True,True,125963.0,False,627.9621793701325,814.5249001690972
puente aranda,2023,469,1293,True,True,127095.0,False,369.0153035131201,1017.3492269562139
puente aranda,2024,463,1522,True,True,128107.0,False,361.41662828729113,1188.0693482791728
rafael uribe uribe,2015,709,2129,True,True,180338.0,False,393.1506393549889,1180.5609466668145
rafael uribe uribe,2016,308,1973,True,True,180338.0,False,170.7904046845368,1094.0567157226985
rafael uribe uribe,2017,266,1923,True,True,180338.0,False,147.50080404573634,1066.3310006765075
rafael uribe uribe,2018,242,2199,True,True,180338.0,False,134.19246082356463,1219.376947731482
rafael uribe uribe,2019,517,2466,True,True,184454.0,False,280.2866839428801,1336.9186897546272
rafael uribe uribe,2020,342,1353,True,True,187764.0,False,182.14354189301463,720.5854157346456
rafael uribe uribe,2021,241,1711,True,True,189226.0,False,127.36093348694153,904.2097808969169
rafael uribe uribe,2022,319,2294,True,True,190516.0,False,167.44000503894685,1204.0983434462198
rafael uribe uribe,2023,293,2028,True,True,191448.0,False,153.04416865153985,1059.2954744891563
rafael uribe uribe,2024,374,2347,True,True,192276.0,False,194.5120555867607,1220.641161663442
san cristóbal,2015,1569,2884,True,True,186898.0,False,839.4953397040097,1543.087673490353
