anio,antonio nariño,barrios unidos,bosa,chapinero,ciudad bolívar,engativá,fontibón,kennedy,la candelaria,puente aranda,rafael uribe uribe,san cristóbal,santa fe,suba,sumapaz,teusaquillo,tunjuelito,usaquén,usme
2015,344,610,5225,421,4222,2388,1232,3830,125,783,2129,2884,637,3282,200,283,626,2798,2944
2016,290,465,4365,307,4525,2003,1213,3410,105,680,1973,2039,524,2817,135,253,539,2366,2468
2017,294,423,3224,360,4786,2113,931,2860,100,628,1923,1994,631,2651,66,245,836,2007,2365
2018,344,428,3488,401,5011,2180,857,3234,109,687,2199,2177,713,3173,111,326,821,1398,2504
2019,436,352,4149,380,4330,2232,989,4163,136,909,2466,2899,862,3013,65,403,881,1130,2367
2020,266,280,3169,229,3424,1578,898,3190,83,623,1353,1481,496,2215,72,279,768,861,2052
2021,346,362,3456,332,4321,2423,1121,4238,109,767,1711,2030,662,3267,80,398,766,1117,2345
2022,435,514,4775,520,5778,3570,1511,5664,166,1026,2294,2481,821,4881,68,549,1039,1666,3007
2023,402,644,5820,543,6407,3957,1803,6334,135,1293,2028,2372,732,5574,66,585,1135,1930,3550
2024,408,747,6452,631,6902,4450,1877,7039,122,1522,2347,2487,788,6622,46,702,1191,2190,3936
