nombre_localidad,anio,casos_consumo
antonio nariño,2015,54
antonio nariño,2016,67
antonio nariño,2017,82
antonio nariño,2018,117
antonio nariño,2019,236
antonio nariño,2020,138
antonio nariño,2021,112
antonio nariño,2022,139
antonio nariño,2023,111
antonio nariño,2024,182
barrios unidos,2015,104
barrios unidos,2016,60
barrios unidos,2017,79
barrios unidos,2018,104
barrios unidos,2019,96
barrios unidos,2020,107
barrios unidos,2021,292
barrios unidos,2022,290
barrios unidos,2023,302
barrios unidos,2024,212
bosa,2015,3059
bosa,2016,912
bosa,2017,264
bosa,2018,224
bosa,2019,772
bosa,2020,456
bosa,2021,690
bosa,2022,781
bosa,2023,709
bosa,2024,903
chapinero,2015,251
chapinero,2016,97
chapinero,2017,83
chapinero,2018,138
chapinero,2019,236
chapinero,2020,200
chapinero,2021,411
chapinero,2022,187
chapinero,2023,339
chapinero,2024,429
ciudad bolívar,2015,1719
ciudad bolívar,2016,584
ciudad bolívar,2017,519
ciudad bolívar,2018,286
ciudad bolívar,2019,771
ciudad bolívar,2020,444
ciudad bolívar,2021,574
ciudad bolívar,2022,450
ciudad bolívar,2023,526
ciudad bolívar,2024,838
engativá,2015,393
engativá,2016,316
engativá,2017,239
engativá,2018,283
engativá,2019,476
engativá,2020,317
engativá,2021,954
engativá,2022,725
engativá,2023,860
engativá,2024,1107
fontibón,2015,479
fontibón,2016,158
fontibón,2017,147
fontibón,2018,138
fontibón,2019,434
fontibón,2020,324
fontibón,2021,715
fontibón,2022,753
fontibón,2023,426
fontibón,2024,490
kennedy,2015,863
kennedy,2016,593
kennedy,2017,394
kennedy,2018,358
kennedy,2019,976
kennedy,2020,534
kennedy,2021,867
kennedy,2022,903
kennedy,2023,858
kennedy,2024,1185
la candelaria,2015,67
la candelaria,2016,30
la candelaria,2017,55
la candelaria,2018,102
la candelaria,2019,236
la candelaria,2020,228
la candelaria,2021,116
la candelaria,2022,277
la candelaria,2023,306
la candelaria,2024,293
puente aranda,2015,844
puente aranda,2016,756
puente aranda,2017,364
puente aranda,2018,183
puente aranda,2019,330
puente aranda,2020,506
puente aranda,2021,619
puente aranda,2022,791
puente aranda,2023,469
puente aranda,2024,463
rafael uribe uribe,2015,709
rafael uribe uribe,2016,308
rafael uribe uribe,2017,266
rafael uribe uribe,2018,242
rafael uribe uribe,2019,517
rafael uribe uribe,2020,342
rafael uribe uribe,2021,241
rafael uribe uribe,2022,319
rafael uribe uribe,2023,293
rafael uribe uribe,2024,374
san cristóbal,2015,1569
san cristóbal,2016,1000
san cristóbal,2017,315
san cristóbal,2018,198
san cristóbal,2019,270
san cristóbal,2020,208
san cristóbal,2021,410
san cristóbal,2022,533
san cristóbal,2023,332
san cristóbal,2024,399
santa fe,2015,239
santa fe,2016,431
santa fe,2017,410
santa fe,2018,849
santa fe,2019,489
santa fe,2020,381
santa fe,2021,671
santa fe,2022,875
santa fe,2023,740
santa fe,2024,611
suba,2015,1462
suba,2016,1394
suba,2017,439
suba,2018,361
suba,2019,676
suba,2020,414
suba,2021,1100
suba,2022,760
suba,2023,856
suba,2024,976
sumapaz,2015,1
sumapaz,2021,1
sumapaz,2022,1
sumapaz,2023,1
sumapaz,2024,1
teusaquillo,2015,166
teusaquillo,2016,123
teusaquillo,2017,194
teusaquillo,2018,138
teusaquillo,2019,218
teusaquillo,2020,158
teusaquillo,2021,535
teusaquillo,2022,324
teusaquillo,2023,356
teusaquillo,2024,412
tunjuelito,2015,363
tunjuelito,2016,411
tunjuelito,2017,365
tunjuelito,2018,150
tunjuelito,2019,524
tunjuelito,2020,469
tunjuelito,2021,330
tunjuelito,2022,239
tunjuelito,2023,207
tunjuelito,2024,258
usaquén,2015,137
usaquén,2016,312
usaquén,2017,186
usaquén,2018,189
usaquén,2019,400
usaquén,2020,285
usaquén,2021,516
usaquén,2022,375
usaquén,2023,325
usaquén,2024,467
usme,2015,1456
usme,2016,1043
usme,2017,341
usme,2018,155
usme,2019,625
usme,2020,398
usme,2021,403
usme,2022,271
usme,2023,345
usme,2024,569
